confirmationNo,bookingStatus,numSeatsBooked,numPointsEarned,transactionDate,transactionAmount,username
1,Completed,4,139,2020-04-12,1396,bruen.alex
2,Booked,4,181,2020-05-06,1812,nwilderman
3,Cancelled,4,115,2020-09-04,1156,ycorwin
4,Cancelled,1,43,2020-04-15,438,szemlak
5,Cancelled,2,110,2020-04-20,1108,parker.wol
6,Cancelled,3,143,2020-11-03,1431,ebert.beth
7,Completed,5,415,2020-04-02,4155,emmanuel.w
8,Booked,4,92,2020-09-12,920,paris.roma
9,Booked,1,15,2020-11-02,153,xhickle
10,Cancelled,5,421,2020-09-28,4215,madie.boye
11,Completed,3,292,2020-04-01,2928,robyn32
12,Completed,3,252,2020-06-19,2523,hackett.ka
13,Cancelled,2,168,2020-07-17,1686,jerrod.how
14,Completed,5,96,2020-05-18,965,willms.hud
15,Booked,5,325,2020-01-15,3250,rosenbaum.
16,Cancelled,4,111,2020-08-17,1116,sbosco
17,Completed,5,440,2020-10-09,4400,wzemlak
18,Cancelled,1,39,2020-04-04,390,gloria.win
19,Booked,3,42,2020-04-22,429,ebert.beth
20,Cancelled,5,50,2020-10-03,500,lhamill
21,Cancelled,4,292,2020-07-21,2920,clemmie77
22,Cancelled,4,89,2020-01-04,892,wzemlak
23,Completed,1,12,2020-09-21,127,nadia.heat
24,Booked,2,101,2020-11-03,1018,hprohaska
25,Booked,1,98,2020-05-30,985,pwalter
26,Cancelled,1,72,2020-06-29,726,emmanuel.w
27,Cancelled,4,175,2020-01-21,1752,brekke.nik
28,Booked,5,83,2020-02-23,830,mohr.liset
29,Cancelled,5,245,2020-02-06,2455,durgan.kia
30,Booked,2,54,2020-11-23,540,carson.hes
31,Booked,4,292,2020-11-05,2928,romaguera.
32,Cancelled,3,217,2020-02-18,2178,dillon.ger
33,Completed,3,33,2020-07-01,330,brekke.nik
34,Cancelled,2,76,2020-03-05,768,ebert.beth
35,Booked,2,182,2020-04-30,1826,emmanuel.w
36,Cancelled,5,135,2020-08-11,1350,langworth.
37,Booked,4,296,2020-08-01,2960,michelle.h
38,Cancelled,3,233,2020-11-21,2337,zbednar
39,Cancelled,3,83,2020-05-01,837,mohammad70
