flightNo,departureDate,arrivalDate,totalNumSeats,numSeatsSold
Q30,2020-01-05,2020-01-05,950,239
Q30,2020-01-12,2020-01-12,950,730
Q30,2020-01-19,2020-01-19,950,399
Q30,2020-01-26,2020-01-26,950,135
Q30,2020-02-02,2020-02-02,950,923
Q30,2020-02-09,2020-02-09,950,498
Q30,2020-02-16,2020-02-16,950,138
Q30,2020-02-23,2020-02-23,950,645
Q30,2020-03-01,2020-03-01,950,907
Q30,2020-03-08,2020-03-08,950,700
Q30,2020-03-15,2020-03-15,950,119
Q30,2020-03-22,2020-03-22,950,416
Q30,2020-03-29,2020-03-29,950,49
Q30,2020-04-05,2020-04-05,950,784
Q30,2020-04-12,2020-04-12,950,827
Q30,2020-04-19,2020-04-19,950,554
Q30,2020-04-26,2020-04-26,950,545
Q30,2020-05-03,2020-05-03,950,297
Q30,2020-05-10,2020-05-10,950,446
Q30,2020-05-17,2020-05-17,950,876
Q30,2020-05-24,2020-05-24,950,428
Q30,2020-05-31,2020-05-31,950,457
Q30,2020-06-07,2020-06-07,950,897
Q30,2020-06-14,2020-06-14,950,930
Q30,2020-06-21,2020-06-21,950,892
Q30,2020-06-28,2020-06-28,950,337
Q30,2020-07-05,2020-07-05,950,229
Q30,2020-07-12,2020-07-12,950,853
Q30,2020-07-19,2020-07-19,950,51
Q30,2020-07-26,2020-07-26,950,540
Q30,2020-08-02,2020-08-02,950,808
Q30,2020-08-09,2020-08-09,950,380
Q30,2020-08-16,2020-08-16,950,851
Q30,2020-08-23,2020-08-23,950,799
Q30,2020-08-30,2020-08-30,950,243
Q30,2020-09-06,2020-09-06,950,664
Q30,2020-09-13,2020-09-13,950,459
Q30,2020-09-20,2020-09-20,950,754
Q30,2020-09-27,2020-09-27,950,946
Q30,2020-10-04,2020-10-04,950,58
Q30,2020-10-11,2020-10-11,950,594
Q30,2020-10-18,2020-10-18,950,470
Q30,2020-10-25,2020-10-25,950,605
Q30,2020-11-01,2020-11-01,950,638
Q30,2020-11-08,2020-11-08,950,186
Q30,2020-11-15,2020-11-15,950,402
Q30,2020-11-22,2020-11-22,950,210
YM1,2020-01-03,2020-01-03,286,98
YM1,2020-01-10,2020-01-10,286,210
YM1,2020-01-17,2020-01-17,286,154
YM1,2020-01-24,2020-01-24,286,189
YM1,2020-01-31,2020-01-31,286,153
YM1,2020-02-07,2020-02-07,286,201
YM1,2020-02-14,2020-02-14,286,254
YM1,2020-02-21,2020-02-21,286,4
YM1,2020-02-28,2020-02-28,286,154
YM1,2020-03-06,2020-03-06,286,33
YM1,2020-03-13,2020-03-13,286,121
YM1,2020-03-20,2020-03-20,286,213
YM1,2020-03-27,2020-03-27,286,190
YM1,2020-04-03,2020-04-03,286,194
YM1,2020-04-10,2020-04-10,286,188
YM1,2020-04-17,2020-04-17,286,204
YM1,2020-04-24,2020-04-24,286,126
YM1,2020-05-01,2020-05-01,286,66
YM1,2020-05-08,2020-05-08,286,147
YM1,2020-05-15,2020-05-15,286,116
YM1,2020-05-22,2020-05-22,286,250
YM1,2020-05-29,2020-05-29,286,117
YM1,2020-06-05,2020-06-05,286,110
YM1,2020-06-12,2020-06-12,286,76
YM1,2020-06-19,2020-06-19,286,135
YM1,2020-06-26,2020-06-26,286,14
YM1,2020-07-03,2020-07-03,286,25
YM1,2020-07-10,2020-07-10,286,56
YM1,2020-07-17,2020-07-17,286,284
YM1,2020-07-24,2020-07-24,286,66
YM1,2020-07-31,2020-07-31,286,286
YM1,2020-08-07,2020-08-07,286,62
YM1,2020-08-14,2020-08-14,286,102
YM1,2020-08-21,2020-08-21,286,31
YM1,2020-08-28,2020-08-28,286,212
YM1,2020-09-04,2020-09-04,286,173
YM1,2020-09-11,2020-09-11,286,237
YM1,2020-09-18,2020-09-18,286,68
YM1,2020-09-25,2020-09-25,286,92
YM1,2020-10-02,2020-10-02,286,8
YM1,2020-10-09,2020-10-09,286,1
YM1,2020-10-16,2020-10-16,286,200
YM1,2020-10-23,2020-10-23,286,99
YM1,2020-10-30,2020-10-30,286,179
YM1,2020-11-06,2020-11-06,286,87
YM1,2020-11-13,2020-11-13,286,118
YM1,2020-11-20,2020-11-20,286,25
JO2,2020-01-07,2020-01-07,401,256
JO2,2020-01-14,2020-01-14,401,294
JO2,2020-01-21,2020-01-21,401,315
JO2,2020-01-28,2020-01-28,401,367
JO2,2020-02-04,2020-02-04,401,56
JO2,2020-02-11,2020-02-11,401,354
JO2,2020-02-18,2020-02-18,401,138
JO2,2020-02-25,2020-02-25,401,157
JO2,2020-03-03,2020-03-03,401,328
JO2,2020-03-10,2020-03-10,401,196
JO2,2020-03-17,2020-03-17,401,386
JO2,2020-03-24,2020-03-24,401,209
JO2,2020-03-31,2020-03-31,401,395
JO2,2020-04-07,2020-04-07,401,70
JO2,2020-04-14,2020-04-14,401,281
JO2,2020-04-21,2020-04-21,401,168
JO2,2020-04-28,2020-04-28,401,327
JO2,2020-05-05,2020-05-05,401,183
JO2,2020-05-12,2020-05-12,401,112
JO2,2020-05-19,2020-05-19,401,336
JO2,2020-05-26,2020-05-26,401,361
JO2,2020-06-02,2020-06-02,401,286
JO2,2020-06-09,2020-06-09,401,8
JO2,2020-06-16,2020-06-16,401,144
JO2,2020-06-23,2020-06-23,401,142
JO2,2020-06-30,2020-06-30,401,348
JO2,2020-07-07,2020-07-07,401,30
JO2,2020-07-14,2020-07-14,401,182
JO2,2020-07-21,2020-07-21,401,212
JO2,2020-07-28,2020-07-28,401,374
JO2,2020-08-04,2020-08-04,401,257
JO2,2020-08-11,2020-08-11,401,393
JO2,2020-08-18,2020-08-18,401,381
JO2,2020-08-25,2020-08-25,401,388
JO2,2020-09-01,2020-09-01,401,83
JO2,2020-09-08,2020-09-08,401,230
JO2,2020-09-15,2020-09-15,401,356
JO2,2020-09-22,2020-09-22,401,71
JO2,2020-09-29,2020-09-29,401,53
JO2,2020-10-06,2020-10-06,401,220
JO2,2020-10-13,2020-10-13,401,355
JO2,2020-10-20,2020-10-20,401,273
JO2,2020-10-27,2020-10-27,401,136
JO2,2020-11-03,2020-11-03,401,123
JO2,2020-11-10,2020-11-10,401,349
JO2,2020-11-17,2020-11-17,401,176
JO2,2020-11-24,2020-11-24,401,201
BN3,2020-01-07,2020-01-07,920,901
BN3,2020-01-14,2020-01-14,920,796
BN3,2020-01-21,2020-01-21,920,342
BN3,2020-01-28,2020-01-28,920,572
BN3,2020-02-04,2020-02-04,920,782
BN3,2020-02-11,2020-02-11,920,247
BN3,2020-02-18,2020-02-18,920,212
BN3,2020-02-25,2020-02-25,920,331
BN3,2020-03-03,2020-03-03,920,449
BN3,2020-03-10,2020-03-10,920,480
BN3,2020-03-17,2020-03-17,920,795
BN3,2020-03-24,2020-03-24,920,35
BN3,2020-03-31,2020-03-31,920,229
BN3,2020-04-07,2020-04-07,920,869
BN3,2020-04-14,2020-04-14,920,45
BN3,2020-04-21,2020-04-21,920,309
BN3,2020-04-28,2020-04-28,920,511
