seatNo,seatStatus,flightNo,departureDate
1A,Available,DN372,2020-09-30
1B,Available,DN372,2020-09-30
1C,Sold,DN372,2020-09-30
1D,Available,DN372,2020-09-30
1E,Available,DN372,2020-09-30
1F,Sold,DN372,2020-09-30
2A,Available,DN372,2020-09-30
2B,Sold,DN372,2020-09-30
2C,Available,DN372,2020-09-30
2D,Available,DN372,2020-09-30
2E,Sold,DN372,2020-09-30
2F,Sold,DN372,2020-09-30
3A,Available,DN372,2020-09-30
3B,Available,DN372,2020-09-30
3C,Sold,DN372,2020-09-30
3D,Sold,DN372,2020-09-30
3E,Sold,DN372,2020-09-30
3F,Sold,DN372,2020-09-30
1A,Available,J7488,2020-06-05
1B,Sold,J7488,2020-06-05
1C,Sold,J7488,2020-06-05
1D,Available,J7488,2020-06-05
1E,Sold,J7488,2020-06-05
1F,Sold,J7488,2020-06-05
2A,Available,J7488,2020-06-05
2B,Available,J7488,2020-06-05
2C,Sold,J7488,2020-06-05
2D,Sold,J7488,2020-06-05
2E,Available,J7488,2020-06-05
2F,Available,J7488,2020-06-05
3A,Sold,J7488,2020-06-05
3B,Available,J7488,2020-06-05
3C,Sold,J7488,2020-06-05
3D,Sold,J7488,2020-06-05
3E,Available,J7488,2020-06-05
3F,Sold,J7488,2020-06-05
1A,Sold,XL71,2020-11-01
1B,Sold,XL71,2020-11-01
1C,Sold,XL71,2020-11-01
1D,Available,XL71,2020-11-01
1E,Available,XL71,2020-11-01
1F,Available,XL71,2020-11-01
2A,Sold,XL71,2020-11-01
2B,Available,XL71,2020-11-01
2C,Available,XL71,2020-11-01
2D,Available,XL71,2020-11-01
2E,Available,XL71,2020-11-01
2F,Sold,XL71,2020-11-01
3A,Available,XL71,2020-11-01
3B,Sold,XL71,2020-11-01
3C,Sold,XL71,2020-11-01
3D,Sold,XL71,2020-11-01
3E,Available,XL71,2020-11-01
3F,Sold,XL71,2020-11-01
1A,Sold,D3396,2020-09-29
1B,Available,D3396,2020-09-29
1C,Available,D3396,2020-09-29
1D,Sold,D3396,2020-09-29
1E,Sold,D3396,2020-09-29
1F,Available,D3396,2020-09-29
2A,Sold,D3396,2020-09-29
2B,Available,D3396,2020-09-29
2C,Sold,D3396,2020-09-29
2D,Available,D3396,2020-09-29
2E,Sold,D3396,2020-09-29
2F,Available,D3396,2020-09-29
3A,Available,D3396,2020-09-29
3B,Available,D3396,2020-09-29
3C,Sold,D3396,2020-09-29
3D,Sold,D3396,2020-09-29
3E,Available,D3396,2020-09-29
3F,Sold,D3396,2020-09-29
1A,Sold,BT264,2020-02-18
1B,Available,BT264,2020-02-18
1C,Sold,BT264,2020-02-18
1D,Sold,BT264,2020-02-18
1E,Available,BT264,2020-02-18
1F,Available,BT264,2020-02-18
2A,Available,BT264,2020-02-18
2B,Available,BT264,2020-02-18
2C,Sold,BT264,2020-02-18
2D,Sold,BT264,2020-02-18
2E,Sold,BT264,2020-02-18
2F,Available,BT264,2020-02-18
3A,Sold,BT264,2020-02-18
3B,Available,BT264,2020-02-18
3C,Sold,BT264,2020-02-18
3D,Sold,BT264,2020-02-18
3E,Sold,BT264,2020-02-18
3F,Available,BT264,2020-02-18
1A,Sold,QP266,2020-06-09
1B,Sold,QP266,2020-06-09
1C,Available,QP266,2020-06-09
1D,Available,QP266,2020-06-09
1E,Sold,QP266,2020-06-09
1F,Sold,QP266,2020-06-09
2A,Available,QP266,2020-06-09
2B,Sold,QP266,2020-06-09
2C,Available,QP266,2020-06-09
2D,Available,QP266,2020-06-09
2E,Sold,QP266,2020-06-09
2F,Sold,QP266,2020-06-09
3A,Available,QP266,2020-06-09
3B,Sold,QP266,2020-06-09
3C,Sold,QP266,2020-06-09
3D,Sold,QP266,2020-06-09
3E,Available,QP266,2020-06-09
3F,Available,QP266,2020-06-09
1A,Available,Y7510,2020-02-07
1B,Available,Y7510,2020-02-07
1C,Sold,Y7510,2020-02-07
1D,Sold,Y7510,2020-02-07
1E,Available,Y7510,2020-02-07
1F,Sold,Y7510,2020-02-07
2A,Sold,Y7510,2020-02-07
2B,Sold,Y7510,2020-02-07
2C,Available,Y7510,2020-02-07
2D,Sold,Y7510,2020-02-07
2E,Available,Y7510,2020-02-07
2F,Sold,Y7510,2020-02-07
3A,Available,Y7510,2020-02-07
3B,Available,Y7510,2020-02-07
3C,Available,Y7510,2020-02-07
3D,Sold,Y7510,2020-02-07
3E,Available,Y7510,2020-02-07
3F,Sold,Y7510,2020-02-07
1A,Sold,2U779,2020-02-01
1B,Available,2U779,2020-02-01
1C,Sold,2U779,2020-02-01
1D,Sold,2U779,2020-02-01
1E,Available,2U779,2020-02-01
1F,Available,2U779,2020-02-01
2A,Sold,2U779,2020-02-01
2B,Available,2U779,2020-02-01
2C,Available,2U779,2020-02-01
2D,Available,2U779,2020-02-01
2E,Available,2U779,2020-02-01
2F,Sold,2U779,2020-02-01
3A,Sold,2U779,2020-02-01
3B,Sold,2U779,2020-02-01
3C,Available,2U779,2020-02-01
3D,Sold,2U779,2020-02-01
3E,Available,2U779,2020-02-01
3F,Sold,2U779,2020-02-01
1A,Sold,TJ870,2020-04-17
1B,Available,TJ870,2020-04-17
1C,Sold,TJ870,2020-04-17
1D,Sold,TJ870,2020-04-17
1E,Available,TJ870,2020-04-17
1F,Sold,TJ870,2020-04-17
2A,Available,TJ870,2020-04-17
2B,Available,TJ870,2020-04-17
2C,Available,TJ870,2020-04-17
2D,Sold,TJ870,2020-04-17
2E,Available,TJ870,2020-04-17
2F,Sold,TJ870,2020-04-17
3A,Available,TJ870,2020-04-17
3B,Sold,TJ870,2020-04-17
3C,Sold,TJ870,2020-04-17
3D,Available,TJ870,2020-04-17
3E,Available,TJ870,2020-04-17
3F,Available,TJ870,2020-04-17
1A,Available,LG887,2020-07-19
1B,Available,LG887,2020-07-19
1C,Available,LG887,2020-07-19
1D,Sold,LG887,2020-07-19
1E,Sold,LG887,2020-07-19
1F,Available,LG887,2020-07-19
2A,Sold,LG887,2020-07-19
2B,Sold,LG887,2020-07-19
2C,Sold,LG887,2020-07-19
2D,Available,LG887,2020-07-19
2E,Sold,LG887,2020-07-19
2F,Available,LG887,2020-07-19
3A,Sold,LG887,2020-07-19
3B,Sold,LG887,2020-07-19
3C,Sold,LG887,2020-07-19
3D,Sold,LG887,2020-07-19
3E,Sold,LG887,2020-07-19
3F,Sold,LG887,2020-07-19
1A,Available,CN636,2020-07-11
1B,Sold,CN636,2020-07-11
1C,Sold,CN636,2020-07-11
1D,Sold,CN636,2020-07-11
1E,Sold,CN636,2020-07-11
1F,Available,CN636,2020-07-11
2A,Available,CN636,2020-07-11
2B,Sold,CN636,2020-07-11
2C,Available,CN636,2020-07-11
2D,Available,CN636,2020-07-11
2E,Sold,CN636,2020-07-11
2F,Available,CN636,2020-07-11
3A,Available,CN636,2020-07-11
3B,Sold,CN636,2020-07-11
3C,Available,CN636,2020-07-11
3D,Available,CN636,2020-07-11
3E,Available,CN636,2020-07-11
3F,Available,CN636,2020-07-11
1A,Sold,7K391,2020-03-30
1B,Available,7K391,2020-03-30
1C,Sold,7K391,2020-03-30
1D,Available,7K391,2020-03-30
1E,Available,7K391,2020-03-30
1F,Available,7K391,2020-03-30
2A,Available,7K391,2020-03-30
2B,Available,7K391,2020-03-30
2C,Available,7K391,2020-03-30
2D,Available,7K391,2020-03-30
2E,Sold,7K391,2020-03-30
2F,Sold,7K391,2020-03-30
3A,Available,7K391,2020-03-30
3B,Available,7K391,2020-03-30
3C,Sold,7K391,2020-03-30
3D,Available,7K391,2020-03-30
3E,Sold,7K391,2020-03-30
3F,Sold,7K391,2020-03-30
1A,Available,KH832,2020-10-02
1B,Sold,KH832,2020-10-02
1C,Available,KH832,2020-10-02
1D,Available,KH832,2020-10-02
1E,Available,KH832,2020-10-02
1F,Sold,KH832,2020-10-02
2A,Sold,KH832,2020-10-02
2B,Sold,KH832,2020-10-02
2C,Sold,KH832,2020-10-02
2D,Sold,KH832,2020-10-02
2E,Sold,KH832,2020-10-02
2F,Sold,KH832,2020-10-02
3A,Sold,KH832,2020-10-02
3B,Sold,KH832,2020-10-02
3C,Sold,KH832,2020-10-02
3D,Available,KH832,2020-10-02
3E,Available,KH832,2020-10-02
3F,Sold,KH832,2020-10-02
1A,Available,XV148,2020-11-10
1B,Sold,XV148,2020-11-10
1C,Available,XV148,2020-11-10
1D,Available,XV148,2020-11-10
1E,Sold,XV148,2020-11-10
1F,Sold,XV148,2020-11-10
2A,Available,XV148,2020-11-10
2B,Available,XV148,2020-11-10
2C,Sold,XV148,2020-11-10
2D,Sold,XV148,2020-11-10
2E,Sold,XV148,2020-11-10
2F,Available,XV148,2020-11-10
3A,Sold,XV148,2020-11-10
3B,Available,XV148,2020-11-10
3C,Sold,XV148,2020-11-10
3D,Sold,XV148,2020-11-10
3E,Sold,XV148,2020-11-10
3F,Available,XV148,2020-11-10
1A,Available,5W280,2020-08-12
1B,Sold,5W280,2020-08-12
1C,Sold,5W280,2020-08-12
1D,Available,5W280,2020-08-12
1E,Sold,5W280,2020-08-12
1F,Sold,5W280,2020-08-12
2A,Sold,5W280,2020-08-12
2B,Sold,5W280,2020-08-12
2C,Sold,5W280,2020-08-12
2D,Available,5W280,2020-08-12
2E,Available,5W280,2020-08-12
2F,Available,5W280,2020-08-12
3A,Sold,5W280,2020-08-12
3B,Available,5W280,2020-08-12
3C,Sold,5W280,2020-08-12
3D,Sold,5W280,2020-08-12
3E,Available,5W280,2020-08-12
3F,Available,5W280,2020-08-12
1A,Sold,XG980,2020-08-25
1B,Available,XG980,2020-08-25
1C,Available,XG980,2020-08-25
1D,Sold,XG980,2020-08-25
1E,Sold,XG980,2020-08-25
1F,Sold,XG980,2020-08-25
2A,Available,XG980,2020-08-25
2B,Sold,XG980,2020-08-25
2C,Sold,XG980,2020-08-25
2D,Available,XG980,2020-08-25
2E,Sold,XG980,2020-08-25
2F,Sold,XG980,2020-08-25
3A,Sold,XG980,2020-08-25
3B,Available,XG980,2020-08-25
3C,Available,XG980,2020-08-25
3D,Sold,XG980,2020-08-25
3E,Available,XG980,2020-08-25
3F,Available,XG980,2020-08-25
1A,Available,LG887,2020-08-02
1B,Available,LG887,2020-08-02
1C,Sold,LG887,2020-08-02
1D,Sold,LG887,2020-08-02
1E,Sold,LG887,2020-08-02
1F,Available,LG887,2020-08-02
2A,Sold,LG887,2020-08-02
2B,Available,LG887,2020-08-02
2C,Sold,LG887,2020-08-02
2D,Available,LG887,2020-08-02
2E,Available,LG887,2020-08-02
2F,Sold,LG887,2020-08-02
3A,Sold,LG887,2020-08-02
3B,Available,LG887,2020-08-02
3C,Sold,LG887,2020-08-02
3D,Available,LG887,2020-08-02
3E,Available,LG887,2020-08-02
3F,Sold,LG887,2020-08-02
1A,Available,Z5988,2020-04-07
1B,Available,Z5988,2020-04-07
1C,Sold,Z5988,2020-04-07
1D,Sold,Z5988,2020-04-07
1E,Sold,Z5988,2020-04-07
1F,Sold,Z5988,2020-04-07
2A,Sold,Z5988,2020-04-07
2B,Sold,Z5988,2020-04-07
2C,Available,Z5988,2020-04-07
2D,Sold,Z5988,2020-04-07
2E,Available,Z5988,2020-04-07
2F,Sold,Z5988,2020-04-07
3A,Available,Z5988,2020-04-07
3B,Available,Z5988,2020-04-07
3C,Available,Z5988,2020-04-07
3D,Sold,Z5988,2020-04-07
3E,Available,Z5988,2020-04-07
3F,Available,Z5988,2020-04-07
1A,Available,JO2,2020-02-18
1B,Available,JO2,2020-02-18
1C,Sold,JO2,2020-02-18
1D,Sold,JO2,2020-02-18
1E,Available,JO2,2020-02-18
1F,Available,JO2,2020-02-18
2A,Sold,JO2,2020-02-18
2B,Available,JO2,2020-02-18
2C,Available,JO2,2020-02-18
2D,Available,JO2,2020-02-18
2E,Available,JO2,2020-02-18
2F,Available,JO2,2020-02-18
3A,Sold,JO2,2020-02-18
3B,Sold,JO2,2020-02-18
3C,Available,JO2,2020-02-18
3D,Available,JO2,2020-02-18
3E,Available,JO2,2020-02-18
3F,Sold,JO2,2020-02-18
1A,Sold,GW540,2020-03-27
1B,Sold,GW540,2020-03-27
1C,Available,GW540,2020-03-27
1D,Available,GW540,2020-03-27
1E,Available,GW540,2020-03-27
1F,Available,GW540,2020-03-27
2A,Sold,GW540,2020-03-27
2B,Available,GW540,2020-03-27
2C,Sold,GW540,2020-03-27
2D,Sold,GW540,2020-03-27
2E,Sold,GW540,2020-03-27
2F,Sold,GW540,2020-03-27
3A,Available,GW540,2020-03-27
3B,Available,GW540,2020-03-27
3C,Available,GW540,2020-03-27
3D,Sold,GW540,2020-03-27
3E,Sold,GW540,2020-03-27
3F,Available,GW540,2020-03-27
1A,Sold,WX940,2020-11-02
1B,Available,WX940,2020-11-02
1C,Sold,WX940,2020-11-02
1D,Sold,WX940,2020-11-02
1E,Sold,WX940,2020-11-02
1F,Available,WX940,2020-11-02
2A,Available,WX940,2020-11-02
2B,Available,WX940,2020-11-02
2C,Sold,WX940,2020-11-02
2D,Available,WX940,2020-11-02
2E,Available,WX940,2020-11-02
2F,Available,WX940,2020-11-02
3A,Sold,WX940,2020-11-02
3B,Available,WX940,2020-11-02
3C,Available,WX940,2020-11-02
3D,Sold,WX940,2020-11-02
3E,Sold,WX940,2020-11-02
3F,Available,WX940,2020-11-02
1A,Available,BE330,2020-03-22
1B,Available,BE330,2020-03-22
1C,Available,BE330,2020-03-22
1D,Sold,BE330,2020-03-22
1E,Sold,BE330,2020-03-22
1F,Available,BE330,2020-03-22
2A,Sold,BE330,2020-03-22
2B,Available,BE330,2020-03-22
2C,Sold,BE330,2020-03-22
2D,Available,BE330,2020-03-22
2E,Sold,BE330,2020-03-22
2F,Sold,BE330,2020-03-22
3A,Available,BE330,2020-03-22
3B,Available,BE330,2020-03-22
3C,Available,BE330,2020-03-22
3D,Available,BE330,2020-03-22
3E,Available,BE330,2020-03-22
3F,Available,BE330,2020-03-22
1A,Available,IK548,2020-10-30
1B,Sold,IK548,2020-10-30
1C,Sold,IK548,2020-10-30
1D,Available,IK548,2020-10-30
1E,Sold,IK548,2020-10-30
1F,Sold,IK548,2020-10-30
2A,Available,IK548,2020-10-30
2B,Available,IK548,2020-10-30
2C,Sold,IK548,2020-10-30
2D,Available,IK548,2020-10-30
2E,Available,IK548,2020-10-30
2F,Available,IK548,2020-10-30
3A,Sold,IK548,2020-10-30
3B,Sold,IK548,2020-10-30
3C,Sold,IK548,2020-10-30
3D,Available,IK548,2020-10-30
3E,Available,IK548,2020-10-30
3F,Available,IK548,2020-10-30
1A,Sold,GH211,2020-04-20
1B,Sold,GH211,2020-04-20
1C,Available,GH211,2020-04-20
1D,Available,GH211,2020-04-20
1E,Available,GH211,2020-04-20
1F,Sold,GH211,2020-04-20
2A,Available,GH211,2020-04-20
2B,Available,GH211,2020-04-20
2C,Sold,GH211,2020-04-20
2D,Available,GH211,2020-04-20
2E,Available,GH211,2020-04-20
2F,Sold,GH211,2020-04-20
3A,Sold,GH211,2020-04-20
3B,Available,GH211,2020-04-20
3C,Available,GH211,2020-04-20
3D,Available,GH211,2020-04-20
3E,Sold,GH211,2020-04-20
3F,Sold,GH211,2020-04-20
1A,Sold,XY627,2020-09-30
1B,Sold,XY627,2020-09-30
1C,Available,XY627,2020-09-30
1D,Sold,XY627,2020-09-30
