seatNo,seatStatus,flightNo,departureDate
1A,Sold,PJ755,2020-05-31
1B,Sold,PJ755,2020-05-31
1A,Available,SI439,2020-02-28
1B,Available,SI439,2020-02-28
1A,Sold,4Z777,2020-07-02
1B,Sold,4Z777,2020-07-02
1A,Sold,DD741,2020-01-24
1B,Available,DD741,2020-01-24
1A,Sold,WX940,2020-01-27
1B,Available,WX940,2020-01-27
1A,Available,5Y872,2020-03-14
1B,Sold,5Y872,2020-03-14
1A,Sold,WW386,2020-09-20
1B,Sold,WW386,2020-09-20
1A,Sold,PQ187,2020-08-21
1B,Sold,PQ187,2020-08-21
1A,Sold,NJ219,2020-01-22
1B,Available,NJ219,2020-01-22
1A,Sold,JQ250,2020-11-19
1B,Sold,JQ250,2020-11-19
1A,Available,SX468,2020-10-07
1B,Sold,SX468,2020-10-07
1A,Available,LQ974,2020-07-31
1B,Available,LQ974,2020-07-31
1A,Available,JA246,2020-11-17
1B,Available,JA246,2020-11-17
1A,Available,QV404,2020-07-19
1B,Sold,QV404,2020-07-19
1A,Available,Z4499,2020-10-21
1B,Sold,Z4499,2020-10-21
1A,Available,CZ287,2020-01-16
1B,Available,CZ287,2020-01-16
1A,Sold,1X355,2020-03-01
1B,Available,1X355,2020-03-01
1A,Available,EM608,2020-07-28
1B,Available,EM608,2020-07-28
1A,Sold,TC719,2020-04-11
1B,Available,TC719,2020-04-11
1A,Available,Q4172,2020-10-26
1B,Available,Q4172,2020-10-26
1A,Available,B6278,2020-02-14
1B,Available,B6278,2020-02-14
1A,Available,JN94,2020-11-05
1B,Sold,JN94,2020-11-05
1A,Available,BG173,2020-08-19
1B,Sold,BG173,2020-08-19
1A,Sold,MZ945,2020-06-20
1B,Available,MZ945,2020-06-20
1A,Sold,VU630,2020-11-11
1B,Available,VU630,2020-11-11
1A,Sold,HZ613,2020-08-30
1B,Sold,HZ613,2020-08-30
1A,Sold,SI439,2020-11-20
1B,Sold,SI439,2020-11-20
1A,Available,ZJ490,2020-06-11
1B,Available,ZJ490,2020-06-11
1A,Available,V2712,2020-01-01
1B,Available,V2712,2020-01-01
1A,Sold,JH302,2020-11-21
1B,Available,JH302,2020-11-21
1A,Sold,B7666,2020-06-21
1B,Sold,B7666,2020-06-21
1A,Sold,ZW51,2020-11-03
1B,Available,ZW51,2020-11-03
1A,Sold,JZ102,2020-08-20
1B,Available,JZ102,2020-08-20
1A,Available,VL512,2020-01-21
1B,Sold,VL512,2020-01-21
1A,Sold,OY339,2020-08-29
1B,Available,OY339,2020-08-29
1A,Available,UU863,2020-04-18
1B,Sold,UU863,2020-04-18
1A,Sold,QW37,2020-04-16
1B,Sold,QW37,2020-04-16
1A,Sold,U4319,2020-02-24
1B,Available,U4319,2020-02-24
1A,Sold,CG74,2020-09-11
1B,Sold,CG74,2020-09-11
1A,Available,SJ166,2020-07-30
1B,Available,SJ166,2020-07-30
1A,Available,T6199,2020-02-18
1B,Sold,T6199,2020-02-18
1A,Available,C5325,2020-02-28
1B,Sold,C5325,2020-02-28
1A,Available,LB272,2020-02-28
1B,Sold,LB272,2020-02-28
1A,Sold,VL512,2020-06-23
1B,Sold,VL512,2020-06-23
1A,Sold,GT231,2020-02-15
1B,Available,GT231,2020-02-15
1A,Available,BH207,2020-10-12
1B,Available,BH207,2020-10-12
1A,Available,TS373,2020-05-11
1B,Available,TS373,2020-05-11
1A,Sold,UR390,2020-11-24
1B,Available,UR390,2020-11-24
1A,Sold,JU899,2020-02-25
1B,Sold,JU899,2020-02-25
1A,Available,AA87,2020-06-13
1B,Sold,AA87,2020-06-13
1A,Sold,PM210,2020-03-02
1B,Available,PM210,2020-03-02
1A,Sold,HE890,2020-03-22
1B,Available,HE890,2020-03-22
1A,Sold,Y8124,2020-09-02
1B,Available,Y8124,2020-09-02
1A,Available,QV404,2020-06-28
1B,Sold,QV404,2020-06-28
1A,Sold,N7907,2020-06-20
1B,Sold,N7907,2020-06-20
1A,Sold,Q3676,2020-08-03
1B,Sold,Q3676,2020-08-03
1A,Sold,Z8201,2020-02-10
1B,Available,Z8201,2020-02-10
1A,Available,VT596,2020-04-17
1B,Available,VT596,2020-04-17
1A,Available,GT231,2020-06-20
1B,Available,GT231,2020-06-20
1A,Sold,Z4675,2020-08-12
1B,Sold,Z4675,2020-08-12
1A,Available,VC817,2020-06-23
1B,Available,VC817,2020-06-23
1A,Sold,VQ273,2020-08-02
1B,Sold,VQ273,2020-08-02
1A,Available,2T414,2020-11-04
1B,Available,2T414,2020-11-04
1A,Available,DL869,2020-03-10
1B,Sold,DL869,2020-03-10
1A,Available,CZ134,2020-07-09
1B,Available,CZ134,2020-07-09
1A,Sold,B8549,2020-01-22
1B,Sold,B8549,2020-01-22
1A,Available,7B995,2020-03-07
1B,Available,7B995,2020-03-07
1A,Sold,JS348,2020-10-06
1B,Available,JS348,2020-10-06
1A,Available,WQ673,2020-05-14
1B,Available,WQ673,2020-05-14
1A,Available,BE395,2020-02-25
1B,Sold,BE395,2020-02-25
1A,Sold,YY59,2020-03-05
1B,Available,YY59,2020-03-05
1A,Sold,BN295,2020-07-29
1B,Available,BN295,2020-07-29
1A,Available,I2213,2020-08-02
1B,Sold,I2213,2020-08-02
1A,Sold,ZE706,2020-02-05
1B,Available,ZE706,2020-02-05
1A,Sold,WQ673,2020-10-08
1B,Available,WQ673,2020-10-08
1A,Sold,C4523,2020-11-24
